Styrk code;Styrk description;Category level 1;Category level 2
3118;Tekniske tegnere;Industri og produksjon;Maskinteknikk og mekanikk
3119;Andre ingeniører;Utdanning;Forskningsarbeid
3121;Arbeidsleder, bergfag, oljevirksomhet;Industri og produksjon;Olje, gass og bergverk
3122;Arbeidsleder, industri;Industri og produksjon;Arbeidsleder, industri
3123;Arbeidsleder, bygg og anlegg;Bygg og anlegg;Arbeidsleder, bygg og anlegg
3131;Energikontrolloperatører;Industri og produksjon;Elektro/elektronikk
3132;Kontrolloperatører ved forbrennings-, kjøle- og vannrenseanlegg mv.;Industri og produksjon;Maskinteknikk og mekanikk
3133;Kontrolloperatører innen kjemisk prosessindustri;Industri og produksjon;Fysikk, kjemi og metallurgi
3134;Kontrolloperatører ved olje- og naturgassraffineringsanlegg;Industri og produksjon;Olje, gass og bergverk
3135;Kontrolloperatører innen metallproduksjon;Industri og produksjon;Jern og metall
3139;Andre prosesskontrolloperatører;Industri og produksjon;Fysikk, kjemi og metallurgi
3141;Bioteknikere (ikke-medisinske laboratorier);Natur og miljø ;Biologer, zoologer, botanikere
3142;Agroteknikere;Natur og miljø ;Jordbruk og dyrehold
3143;Skogteknikere;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
3151;Skipsmaskinister;Transport og lager;Sjøfart
3152;Dekksoffiserer og loser;Transport og lager;Sjøfart
3153;Flygere mv.;Transport og lager;Lufttrafikk
3154;Flygeledere;Transport og lager;Lufttrafikk
3155;Teknikere innen luftfartssikkerhet;Transport og lager;Lufttrafikk
3211;Radiografer mv.;Helse og sosial;Psykologer og terapeuter
3212;Bioingeniører;Helse og sosial;Bioingeniør
3213;Reseptarer;Helse og sosial;Farmasøytisk og apotekerarbeid
3214;Protese- og tannteknikere;Helse og sosial;Tannhelse/-pleie
3230;Yrker innen alternativ medisin;Helse og sosial;Psykologer og terapeuter
3240;Dyrepleier;Natur og miljø ;Veterinærer og dyrepleiere
3251;Tannpleier;Helse og sosial;Tannhelse/-pleie
3254;Optikere;Helse og sosial;Optiker
3256;Helsesekretærer;Helse og sosial;Helse
3257;Helse og miljøkontrollører;Natur og miljø ;Matproduksjon og næringsmiddelarbeid
3258;Ambulansepersonell;Sikkerhet og beredskap;Brann-, utryknings- og redningspersonell
3259;Andre helseyrker;Helse og sosial;Helse
3311;Finansmeglere;Kontor og økonomi;Megling
3312;Kundebehandlere lån og kreditt;Kontor og økonomi;Bank finans forsikring
3313;Regnskapsførere;Kontor og økonomi;Økonomi, statistikk og regnskap
3315;Takstmenn;Kontor og økonomi;Bank finans forsikring
3321;Forsikringsagenter;Kontor og økonomi;Bank finans forsikring
3322;Selgere (engros);Salg og service;Salg, butikk- og varehandel
3323;Innkjøpere;Salg og service;Salg, butikk- og varehandel
3324;Handels- og skipsmeglere;Kontor og økonomi;Megling
3331;Speditører og befraktere;Transport og lager;Speditør og befrakter
3332;Konferanse- og arrangementsplanleggere;Reiseliv og mat;Reiseliv, hotell og overnatting
3333;Arbeidsformidlere;Kontor og økonomi;Personal, arbeidsmiljø og rekruttering
3334;Eiendomsmeglere- og forvaltere;Salg og service;Eiendomsmegler
3339;Andre yrker innen forretningstjenester;Kontor og økonomi;Megling
3341;Arbeidsledere for kontorpersonell;Kontor og økonomi;Ledelse, administrasjon og rådgivning
3342;Advokatsekretærer;Kontor og økonomi;Juridisk arbeid
3343;Sjefssekretærer;Kontor og økonomi;Kontor, forvaltning og saksbehandling
3351;Tollere;Sikkerhet og beredskap;Politi, fengsel og toll
3352;Skattefunksjonærer;Kontor og økonomi;Kontor, forvaltning og saksbehandling
3353;Saksbehandlere innen sosiale ytelser;Kontor og økonomi;Kontor, forvaltning og saksbehandling
3354;Saksbehandlere for førerkort, importlisenser mv.;Kontor og økonomi;Kontor, forvaltning og saksbehandling
3355;Politibetjenter mv.;Sikkerhet og beredskap;Politi, fengsel og toll
3359;Andre yrker innen offentlig forvaltning;Kontor og økonomi;Kontor, forvaltning og saksbehandling
3411;Privatetterforskere;Sikkerhet og beredskap;Vakt-, sikrings- og kontrollarbeid
3412;Miljøarbeidere innen sosiale fagfelt;Utdanning;SFO og fritidsleder
3413;Religiøse yrker;Kultur og kreative yrker;Religiøst arbeid
3421;Idrettsutøvere;Kultur og kreative yrker;Sport og idrett
3422;Trenere og idrettsdommere;Kultur og kreative yrker;Sport og idrett
3423;Sports- og aktivitetsinstruktører;Kultur og kreative yrker;Sport og idrett
3431;Fotografer og filmfotografer;Kultur og kreative yrker;Musikk/lyd, foto og video
3432;Interiørdesignere og dekoratører;Kultur og kreative yrker;Design, grafisk arbeid og illustrasjon
3433;Tekniske konservatorer;Kultur og kreative yrker;Museum, bibliotek
3434;Sjefskokker;Reiseliv og mat;Kokk
3439;Andre yrker innen estetiske fag;Kultur og kreative yrker;Andre yrker innen estetiske fag
3511;Driftsteknikere, IKT;IT;Drift, vedlikehold
3512;Brukerstøttere, IKT;IT;Drift, vedlikehold
3513;Nettverks- og systemteknikere, IKT;IT;Drift, vedlikehold
3514;Internett-teknikere;IT;Drift, vedlikehold
3521;Teknikere innen radio og tv;Håndverkere;Elektriker/elektro
3522;Teknikere innen telekommunikasjon;Håndverkere;Elektriker/elektro
4110;Kontormedarbeidere;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4131;Stenografer;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4132;Dataregistrerere;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4211;Kundebehandlere, bank og postkontor;Kontor og økonomi;Bank finans forsikring
4212;Bingoverter, bookmakere mv.;Salg og service;Salg, butikk- og varehandel
4213;Pantelånere;Salg og service;Salg, butikk- og varehandel
4214;Inkassomedarbeidere mv.;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4221;Reisebyråmedarbeidere mv.;Reiseliv og mat;Reiseliv, hotell og overnatting
4222;Kundesentermedarbeidere;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4223;Sentralbordoperatører;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4224;Hotellresepsjonister;Reiseliv og mat;Reiseliv, hotell og overnatting
4225;Informasjonsskrankemedarbeidere;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4226;Resepsjonister (ekskl. hotell);Kontor og økonomi;Kontor, forvaltning og saksbehandling
4227;Intervjuere;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4229;Andre opplysningsmedarbeidere;Salg og service;Salg, butikk- og varehandel
4311;Regnskapsmedarbeidere;Kontor og økonomi;Økonomi, statistikk og regnskap
4312;Forsikrings- og finansmedarbeidere;Kontor og økonomi;Bank finans forsikring
4313;Lønningsmedarbeidere;Kontor og økonomi;Økonomi, statistikk og regnskap
4321;Lagermedarbeidere og materialforvaltere;Transport og lager;Logistikk, lagerarbeid og innkjøp
4322;Logistikkmedarbeidere;Transport og lager;Logistikk, lagerarbeid og innkjøp
4323;Transportfunksjonærer;Transport og lager;Logistikk, lagerarbeid og innkjøp
4411;Bibliotekassistenter;Kultur og kreative yrker;Museum, bibliotek
4412;Postbud og postsorterere;Salg og service;Post og måleavlesere
4413;Kodere mv;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4415;Arkivassistenter;Kontor og økonomi;Kontor, forvaltning og saksbehandling
4416;Personalkontormedarbeidere;Kontor og økonomi;Personal, arbeidsmiljø og rekruttering
5111;Flyverter, båtverter mv.;Reiseliv og mat;Reiseliv, hotell og overnatting
5112;Konduktører;Reiseliv og mat;Reiseliv, hotell og overnatting
5113;Reiseledere og guider;Reiseliv og mat;Reiseliv, hotell og overnatting
5120;Kokker;Reiseliv og mat;Kokk
5131;Servitører;Reiseliv og mat;Restaurant
5132;Bartendere;Reiseliv og mat;Restaurant
5141;Frisører;Salg og service;Frisør og velvære
5142;Kosmetologer mv.;Salg og service;Frisør og velvære
5151;Renholdsledere i bedrifter;Salg og service;Renholdere og renovasjon
